bout_date,year,month,sex_cd,site_name,dive_time,success_cd,preytype_cd,prey_qty,preysize_cd,ageclass_cd,dive_num,visibility_cd,area_cd,bout_id,phylum
1993-04-22,1993,4,m,Dundas,254,y,cam,1,2z,a,2,un,GLBA,19930422jlb2,Arthropoda
1993-04-22,1993,4,m,Dundas,217,n,,NA,,a,5,un,GLBA,19930422jlb2,NA
1993-04-22,1993,4,m,Dundas,NA,y,cam,1,3z,a,7,un,GLBA,19930422jlb2,Arthropoda
1993-04-22,1993,4,m,Dundas,133,y,cam,1,3z,a,8,un,GLBA,19930422jlb2,Arthropoda
1993-04-22,1993,4,m,Dundas,19,n,,NA,,a,9,un,GLBA,19930422jlb2,NA
1993-04-22,1993,4,m,Dundas,22,y,cam,1,3z,a,10,un,GLBA,19930422leb2,Arthropoda
1993-04-22,1993,4,m,Dundas,193,y,cla,4,2z,a,14,un,GLBA,19930422leb2,Mollusca
1993-04-22,1993,4,m,Dundas,176,y,cam,1,3z,a,15,un,GLBA,19930422leb2,Arthropoda
1993-04-22,1993,4,m,Dundas,213,y,cra,1,2z,a,16,un,GLBA,19930422leb2,Arthropoda
1993-04-22,1993,4,m,Dundas,209,y,cla,2,2z,a,17,un,GLBA,19930422leb2,Mollusca
1993-04-22,1993,4,m,Dundas,160,y,cam,1,4z,a,18,un,GLBA,19930422leb2,Arthropoda
1993-04-22,1993,4,m,Dundas,214,y,cam,1,2z,a,19,un,GLBA,19930422leb2,Arthropoda
1993-04-23,1993,4,m,Dundas,NA,y,cam,1,3z,a,1,un,GLBA,19930423jlb1,Arthropoda
1993-04-23,1993,4,m,Dundas,105,y,cla,1,2z,a,2,un,GLBA,19930423jlb1,Mollusca
1993-04-23,1993,4,m,Dundas,78,y,cla,1,2z,a,3,un,GLBA,19930423jlb1,Mollusca
1993-04-23,1993,4,m,Dundas,68,y,cla,1,2z,a,4,un,GLBA,19930423jlb1,Mollusca
1993-04-23,1993,4,m,Dundas,29,y,cla,1,2z,a,5,un,GLBA,19930423jlb1,Mollusca
1993-04-23,1993,4,m,Dundas,70,y,cla,1,2z,a,6,un,GLBA,19930423jlb1,Mollusca
1993-04-23,1993,4,m,Dundas,72,y,cla,1,2z,a,7,un,GLBA,19930423jlb1,Mollusca
1993-04-23,1993,4,m,Dundas,NA,y,cla,1,2z,a,8,un,GLBA,19930423jlb1,Mollusca
1993-04-23,1993,4,m,Dundas,69,y,cla,1,2z,a,9,un,GLBA,19930423jlb1,Mollusca
1993-04-23,1993,4,m,Dundas,77,y,cla,1,2z,a,10,un,GLBA,19930423jlb1,Mollusca
1993-04-23,1993,4,m,Dundas,NA,y,cla,2,2z,a,11,un,GLBA,19930423jlb1,Mollusca
1993-04-23,1993,4,m,Dundas,47,y,cla,1,2z,a,12,un,GLBA,19930423jlb1,Mollusca
1993-04-23,1993,4,m,Dundas,68,y,cla,1,2z,a,13,un,GLBA,19930423jlb1,Mollusca
1993-04-23,1993,4,m,Dundas,75,y,cla,1,3z,a,14,un,GLBA,19930423jlb1,Mollusca
1993-04-23,1993,4,m,Dundas,76,y,cla,1,2z,a,15,un,GLBA,19930423jlb1,Mollusca
1993-04-23,1993,4,m,Dundas,77,y,cla,2,2z,a,16,un,GLBA,19930423jlb1,Mollusca
1993-04-23,1993,4,m,Dundas,73,y,cla,1,2z,a,17,un,GLBA,19930423jlb1,Mollusca
1993-04-23,1993,4,m,Dundas,61,y,cla,2,1z,a,18,un,GLBA,19930423jlb1,Mollusca
1993-04-23,1993,4,m,Dundas,81,y,cla,1,3z,a,19,un,GLBA,19930423jlb1,Mollusca
1993-04-23,1993,4,m,Dundas,81,y,cla,2,2z,a,20,un,GLBA,19930423jlb1,Mollusca
1993-04-23,1993,4,m,Dundas,67,y,cla,2,2z,a,21,un,GLBA,19930423jlb1,Mollusca
1993-04-23,1993,4,m,Dundas,67,y,cla,1,2z,a,22,un,GLBA,19930423jlb1,Mollusca
1993-04-23,1993,4,m,Dundas,89,y,cla,1,3z,a,23,un,GLBA,19930423jlb1,Mollusca
1993-04-23,1993,4,m,Dundas,76,y,cla,1,3z,a,24,un,GLBA,19930423jlb1,Mollusca
1993-04-23,1993,4,m,Dundas,56,y,cla,1,2z,a,25,un,GLBA,19930423jlb1,Mollusca
1993-04-23,1993,4,m,Dundas,71,y,cla,1,2z,a,26,un,GLBA,19930423jlb1,Mollusca
1993-04-23,1993,4,m,Dundas,65,y,cla,1,2z,a,27,un,GLBA,19930423jlb1,Mollusca
1993-04-23,1993,4,m,Dundas,81,y,cla,1,2z,a,28,un,GLBA,19930423jlb1,Mollusca
